"Method","N","m","AverageLength"
"MLE",50,3,13.9348368507841
"Unbiased",50,3,8.10583389318487
"Analog to Clopper-Pearson",50,3,11.3137254901961
"MST",50,3,10.4313725490196
"CG",50,3,10.4313725490196
"BK",50,3,10.4313725490196
"Blaker",50,3,10.5490196078431
"CMC",50,3,11.7254901960784
"MLE",200,3,23.6117966588837
"Unbiased",200,3,12.4432388405173
"Analog to Clopper-Pearson",200,3,19.7213930348258
"MST",200,3,18.2786069651742
"CG",200,3,18.2786069651742
"BK",200,3,18.3084577114428
"Blaker",200,3,18.945
"CMC",200,3,23.3781094527364
"MLE",50,20,5.81091892307652
"Unbiased",50,20,5.62414681869882
"Analog to Clopper-Pearson",50,20,5.6078431372549
"MST",50,20,5.23529411764706
"CG",50,20,5.23529411764706
"BK",50,20,5.23529411764706
"Blaker",50,20,5.23529411764706
"CMC",50,20,5.27450980392157
"MLE",200,20,23.6005364312139
"Unbiased",200,20,21.9880861290635
"Analog to Clopper-Pearson",200,20,22.5373134328358
"MST",200,20,21.9402985074626
"CG",200,20,21.9402985074626
"BK",200,20,21.9651741293532
"Blaker",200,20,22.049751243781
"CMC",200,20,25.8059701492538
